spkid,pdes,full_name,neo,pha,class,moid,e,a,q,i,per,H,diameter,albedo,condition_code,data_arc,n_obs_used
20154019,154019,154019 (2002 CZ9),Y,Y,APO,.0256281,.3600466802287649,1.325385071587078,.8481845765373867,4.971638273155808,557.328867990807,22.07,,,1,1269,69
20154020,154020,154020 (2002 CA10),Y,N,APO,.153183,.5896776756751931,1.54131926961687,.6324377052358078,12.12389881064456,698.9358852255472,19.13,,,0,9179,401
20154029,154029,154029 (2002 CY46),Y,N,APO,.0869018,.4624143033001444,1.889758950820188,1.015907382171459,44.19638526482503,948.8729003695917,16.52,1.119,0.098,0,8481,1161
20154035,154035,154035 (2002 CV59),Y,N,APO,.42625,.5320429549832519,1.2100610215111,.5662565799162821,49.05475710088916,486.1937082082063,17.35,1.098,0.149,0,8865,418
20154144,154144,154144 (2002 FA5),Y,N,AMO,.368146,.2960163254364533,1.834408251828331,1.2913934617718,23.62260628888563,907.4911948436612,17.51,,,0,8711,801
20154229,154229,154229 (2002 JN97),Y,N,APO,.157817,.7184331370299329,1.85144922527461,.5213067503089328,10.08893629154103,920.1659030547946,16.61,,,0,9545,663
20154244,154244,154244 (2002 KL6),Y,N,AMO,.0613586,.5501430826950169,2.304613169288994,1.036746175916814,3.249888547615992,1277.89592647574,17.57,,,0,11159,3943
20154268,154268,154268 (2002 RM129),Y,N,APO,.17658,.4650311381977133,1.511257224036798,.8084755570334492,14.57533347561415,678.5877441576515,18.06,,,0,8795,418
20154269,154269,154269 (2002 SM),Y,Y,APO,.0236047,.4865442672364394,1.871302995671448,.9608312508651297,14.39783948302162,935.0064270069397,17.87,,,0,8466,343
20154275,154275,154275 (2002 SR41),Y,Y,APO,.0361158,.4908391824879103,1.083607487452901,.5517304741737404,11.57530973410215,412.0087341597449,20.13,,,0,7586,489
20154276,154276,154276 (2002 SY50),Y,Y,APO,.00391761,.6889444950166206,1.705288930579216,.5304395094438852,8.740614047280387,813.3835526190929,17.61,1.060,0.143,0,8344,1168
20154278,154278,154278 (2002 TB9),Y,N,APO,.183662,.5916192871021381,1.803917219786305,.7366850002250603,29.76562677804538,884.95937267288,16.50,,,0,12908,1402
20154300,154300,154300 (2002 UO),Y,N,APO,.141611,.4725413386890788,1.209316752881813,.6378645955759111,8.293579677507521,485.7452146147463,19.37,,,0,8823,428
20154302,154302,154302 (2002 UQ3),Y,Y,APO,.0392802,.5615300353033567,1.719835586571802,.7540962489281688,28.8282727025303,823.8133461805987,17.69,,,0,8660,919
20154330,154330,154330 (2002 VX94),Y,Y,APO,.0325914,.4087553387645537,1.476683716243712,.8730813635624135,7.157334176612264,655.4350404199231,18.19,,,0,14263,614
20154347,154347,154347 (2002 XK4),Y,N,APO,.270128,.692057485577953,1.850057646305871,.5697114034291642,17.75046068599383,919.1286808106024,16.15,,,0,10241,970
20154453,154453,154453 (2003 CJ11),Y,N,APO,.344344,.8351182891468866,2.583379672723351,.4259520602217824,20.81271645761639,1516.633986360471,15.36,,,0,8179,999
20154555,154555,154555 (2003 HA),Y,N,APO,.115693,.5803628034051824,1.184510506550148,.4970646683058115,36.82266980027137,470.8762680405199,16.70,,,0,8354,1892
